Date,Adj Close,Adj Close - Dow Jones,Adj Close – NASDAQ,Spx – Adj Close,Adj Close IEF,Adj Close SHY,Adj Close TIP,CWSR0000SA0,INDPRO,IR3TIB01USM156N,Brent,Crude Oil,Gold,Natural gas,S&P GSCI
1998-08-01,100.199997,,1499.25,957.28,,,,160,86.4183,5.58,,,,,
1998-09-01,96.169998,,1693.839966,1017.01,,,,160.1,86.3287,5.41,,,,,
1998-10-01,93.730003,,1771.390015,1098.67,,,,160.5,86.9767,5.21,,,,,
1998-11-01,96.199997,,1949.540039,1163.63,,,,160.7,86.9005,5.24,,,,,
1998-12-01,94.169998,,2192.689941,1229.23,,,,161.1,87.2514,5.14,,,,,
1999-01-01,96.080002,,2505.889893,1279.64,,,,161.4,87.6357,4.89,,,,,
1999-02-01,98.68,,2288.030029,1238.33,,,,161.3,88.1298,4.9,,,,,
1999-03-01,100.099998,,2461.399902,1286.37,,,,161.4,88.2987,4.91,,,,,
1999-04-01,101,,2542.860107,1335.18,,,,162.4,88.4947,4.88,,,,,
1999-05-01,102.510002,,2470.52002,1301.84,,,,162.6,89.0447,4.92,,,,,
1999-06-01,102.849998,,2686.120117,1372.71,,,,162.6,88.9802,5.13,,,,,
1999-07-01,99.75,,2638.48999,1328.72,,,,163.3,89.5155,5.24,,,,,
1999-08-01,99.949997,,2739.350098,1320.41,,,,163.8,89.8984,5.41,,,,,
1999-09-01,98.540001,,2746.159912,1282.71,,,,164.6,89.496,5.5,,,,,
